run_dir,E_VF_species_test,E_VF_species_train,E_VF_test,E_VF_train,E_spec_species_test,E_spec_species_train,E_spec_test,E_spec_train,E_trajectory_species_test,E_trajectory_species_train,E_trajectory_test,E_trajectory_train,collocation_time,computer,derivmatch_time,err-file,gradient_norm,init,model,model_width,n_params,ncol,out-file,param,pretraining,problem,profile,seed,shap-hessian,shapovalova_time,shoot-iters,shooting_time,sigma,timestamp,track-gradient,training,training_time,cfg.amr_rounds,cfg.depth,cfg.dm_iters,cfg.hidden,cfg.lm_iters,cfg.signed_loss,cfg.linsolve,use_collocation,use_derivmatch,shapovalova,shooting
run_00IK0gof,"[3426.638914870803, 106487501.89080107]","[2.066763474694523e-05, 2.2495273183696856e-05]",53245464.26485797,2.1581453965321042e-05,"[0.9907548820486496, 0.9842707406502362]","[0.4425759533878433, 0.7233237656981222]",0.9875128113494429,0.5829498595429827,"[19302622386.09715, 16537668698.294886]","[1.9299854073676606e-07, 6.169201064982648e-07]",17920145542.19602,4.049593236175154e-07,0.0,orcd,33.407031065,/home/txenakis/projects/BVPsolver/logs/ablation1_23640313_1711.err,[],default,GELU-scaled,7,317,0,/home/txenakis/projects/BVPsolver/logs/ablation1_23640313_1711.out,none,derivmatch,davis-skodje,fast,111,exact,0.0,1000,538.208838925,0.0,2026-09-24T06:53:02.541,False,shooting,571.61586999,3,2,10000,12,150,False,,,,,
run_00vv9TWE,"[1366.3345368500395, 436.9070968164477, 1413673457909629.2, 37221.932828940204, 1876676452956.5981, 2643313262910.868, 0.09002713764243939, 0.021570425628449606, 11.969012540680385, 48756309622.730255, 475883084180.4123, 134.30511062717534, 1535.3834848234724, 413421.6775033524, 1.040459485306111, 4.902072700858934e+29, 16.60064512941018, 76.69866954035562, 743383.4979163392, 1837.5163100641666]","[2.189971983510101e-06, 1.5410573496963324e-06, 1.1107178551877745, 8.760503697989329e-07, 5.630399540729952, 26.554269778408827, 0.006856236051638902, 0.005189603307404096, 0.08054310383344986, 253.95288490953834, 207.01655617153241, 1.3040157356349817, 13.857437119856533, 1.225583270397327, 0.4322606075328632, 312.12803935323456, 0.054717441088979475, 5.846905666507762, 114.9812937040291, 9.897679326921903]",2.451036350429474e+28,47.70426770154368,"[0.9999999998446913, 0.9999997767678573, 0.9967623507633717, 0.9973032483487811, 0.9986470787882266, 0.997972631075646, 0.9908881972362661, 0.8105321386565469, 0.5948361335793519, 0.6777301348041822, 459.12441097305805, 2203.721090127274, 6835.794339212933, 36535.19193918681, 34104.2395416004, 1553387.2690160598, 7.236260322458424e+306, 2.7829910035337008e+306, 2.7829910035337008e+306, 1.0554934071096222e+305]","[0.999999999451709, 0.9999996740570787, 0.9971388375577495, 0.997251385509099, 0.9972092724472367, 0.9898354736793319, 0.9754795484777515, 0.7507487076805232, 0.414940919467202, 0.9425747709310831, 5.583292331549342, 365.9230233314084, 3015.895803487119, 10898.680234902327, 155675.03415533743, 114266044.44234236, 1.0194972157814202e+308, 1.0989354094592893e+307, 1.0583797181690641e+307, 2.5739652625440943e+306]",6.4538958351183934e+305,6.304841905848483e+306,"[26990823.404409073, 4937134.189371859, 6.571103353947397e+21, 3034721208.3647566, 3.2458461835095045e+18, 4.5404211602670694e+18, 14251.533109416307, 8959.006813151802, 123177790.51694545, 2.817434039842724e+18, 1.3527574014428514e+19, 35599340.71662158, 16502606135.329111, 712635405978.3365, 7821959.709731237, 3.925869388884374e+38, 1965214.1873107585, 529574082.9483247, 45572632803904.38, 27872097837.977776]","[2846847.194015109, 39504.290250907805, 7.122392621712356e+20, 2568635.097654045, 2.6320696395427076e+16, 1.4956539410198114e+16, 123.9066280921157, 215.45327823479343, 1080993.204869356, 1.2254173923335682e+16, 4.937277744415958e+16, 20742935.460019067, 5341458995.973237, 5535683545.437669, 6587311.601562626, 3.3897211920301574e+35, 16803.196570870776, 288823586.9446416, 13218712178501.223, 16796432764.196053]",1.962934694442187e+37,1.6948605960150824e+34,5356.497413697,orcd,35.535388979,/home/txenakis/projects/BVPsolver/logs/ablation1_23493023_163.err,[],default,mlp,40,4940,0,/home/txenakis/projects/BVPsolver/logs/ablation1_23493023_163.out,none,derivmatch,pollu,fast,113,exact,0.0,1000,0.0,0.0,2026-09-22T23:45:22.266,False,collocation,5392.032802676001,1,3,30000,32,150,False,,,,,
run_01ryIbwY,"[2400.820687660037, 300677015107.98114]","[5.426659763644489e-06, 0.8153693553143931]",150338508754.4009,0.4076873909870784,"[0.9997626587520045, 0.4446134345347941]","[0.9979310928015149, 0.11520392544861148]",0.7221880466433993,0.5565675091250633,"[4359265422.383486, 2330800659.2004004]","[0.0015326791103716492, 0.13643212043121591]",3345033040.791943,0.06898239977079378,0.0,orcd,28.110094681,/home/txenakis/projects/BVPsolver/logs/ablation3_22277856_99.err,,default,GELU-scaled,7,317,0,/home/txenakis/projects/BVPsolver/logs/ablation3_22277856_99.out,1e-05,derivmatch,davis-skodje,fast,49,exact,0.0,1000,602.136853113,0.0,2026-09-08T06:55:46.378,,shooting,630.246947794,3,2,10000,12,150,False,,,,,
run_01tYjlwk,"[74781421.50553899, 1123140403.7361836]","[0.009187196497628603, 2.29862269962724e-05]",598960912.6208613,0.004605091362312437,"[0.9979559572147888, 0.11824078990065738]","[0.6221841272495366, 0.35437086644832666]",0.5580983735577231,0.4882774968489316,"[65295835.80573727, 764334338.1059668]","[1.1950272163872847e-06, 5.294181337160174e-06]",414815086.95585203,3.2446042767737295e-06,0.0,orcd,27.862936052,/home/txenakis/projects/BVPsolver/logs/ablation3_23642156_253.err,[],default,GELU-scaled,7,317,0,/home/txenakis/projects/BVPsolver/logs/ablation3_23642156_253.out,0.001,derivmatch,davis-skodje,fast,303,exact,0.0,1000,617.314498166,0.0,2026-09-24T08:28:09.141,False,shooting,645.177434218,3,2,10000,12,150,False,,,,,
run_02Bg5bmQ,"[17113691.47999304, 5007900.758330118]","[0.0031610887932813966, 7.060242915129598e-06]",11060796.11916158,0.001584074518098263,"[0.9978677410955682, 0.7366839651213841]","[0.6135342368388387, 0.2331625356173887]",0.8672758531084761,0.42334838622811366,"[460060540.6236146, 327466946.2898489]","[5.34407536141646e-07, 1.2726667528552248e-06]",393763743.4567318,9.035371444984354e-07,0.0,orcd,30.632880552,/home/txenakis/projects/BVPsolver/logs/ablation3_22277856_51.err,,default,GELU-scaled,7,317,0,/home/txenakis/projects/BVPsolver/logs/ablation3_22277856_51.out,0.001,derivmatch,davis-skodje,fast,41,exact,0.0,1000,589.899268485,0.0,2026-09-08T06:48:38.922,,shooting,620.532149037,3,2,10000,12,150,False,,,,,
run_03lcWbxB,"[427836782.28273803, 1.212274891427212e+18, 174687.51823649448]","[15.727485446392942, 3.9426324331804126, 311.94047465389133]",4.0409163061840774e+17,110.53686417782156,"[0.9997990781388215, 217398.78219042526, 1.845361448371894e+29]","[0.9985434811346798, 8.018886362415799, 2.28849054697827e+29]",6.151204827906313e+28,7.6283018232609e+28,"[6354.550388504019, 564861.0709334062, 6.053541072284921]","[5.460099103729034, 287.9805002845772, 30.484914364988335]",190407.22495432754,107.97517125109819,0.0,orcd,23.99567592,/home/txenakis/projects/BVPsolver/logs/array_21347893_86.err,,default,mlp,15,348,0,/home/txenakis/projects/BVPsolver/logs/array_21347893_86.out,none,derivmatch,rober,fast,14,exact,0.0,1000,1142.841552069,0.0,2026-08-26T21:04:47.062,,shooting,1166.837227989,1,2,10000,12,150,False,,,,,
run_042oFA8R,"[nan, nan, nan]","[20.197585960927363, 0.8892129119794342, 96.40391341426441]",nan,39.1635707623904,"[nan, nan, nan]","[0.9949748180304234, 0.99788325252889, 1.0316948333051523]",nan,1.0081843012881553,"[nan, nan, nan]","[0.002066740776530265, 3.562167122657497, 0.03628781800099237]",nan,1.2001738938116733,16.132211391,orcd,25.148203203,/home/txenakis/projects/BVPsolver/logs/ablation2_23659529_645.err,[],default,GELU-scaled,7,332,0,/home/txenakis/projects/BVPsolver/logs/ablation2_23659529_645.out,none,derivmatch,rober,fast,245,exact,0.0,1000,0.0,0.0,2026-09-24T14:10:11.649,False,collocation,41.280414594,1,2,10000,12,150,False,,,,,
run_04ucFu16,"[416.9411327252127, 7877461.121262323, 420.80589390800134]","[0.007090837271151293, 0.9435199450412203, 0.5383877748940781]",2626099.6227629855,0.4963328524021499,"[1.0, 1.0, 1.0]","[0.998832423374072, 0.9820759961337461, 1.4039830789076078]",1.0,1.1282971661384753,"[5.849712164609937e+17, 2.195823166946033e+22, 3307901739755192.5]","[0.002044691657360526, 808.5452118704475, 0.008823551425111868]",7.319606649526177e+21,269.51869337117665,0.0,orcd,33.134342172,/home/txenakis/projects/BVPsolver/logs/ablation2_23659529_516.err,[],default,GELU-scaled,7,332,0,/home/txenakis/projects/BVPsolver/logs/ablation2_23659529_516.out,none,derivmatch,rober,fast,216,exact,0.0,1000,0.0,0.0,2026-09-24T12:38:03.946,False,none,33.134342172,1,2,10000,12,150,False,,,,,
run_068GRBwv,"[131246.54089834465, 279702549.3361103, 16229391.878714217, 2618120.480183372, 390.0331162605254, 1.6460669284953977, 121.50920797609575, 189.64788298520065]","[0.17458582306739276, 0.12401828030474189, 2.305516647927885, 0.04233658844319416, 0.9898886883986429, 0.06671673140974559, 1.87930651672901, 3.022744779472379]",37335251.38402254,1.075639256969124,"[0.4174904166927049, 0.3045165167800547, 0.45495250603911763, 0.5545355848395699, 0.8948528381472867, 0.9120254945019429, 0.9571283901896748, 6.105743838304559e+28]","[0.9542508827004107, 0.3818530488652155, 0.7341280805867881, 0.5413763493575724, 0.8948738902875534, 0.917628903889678, 0.9195972507387566, 5.047669991399503e+16]",7.632179797880699e+27,6309587489249380.0,"[1077999006.6915977, 35261801.36578705, 871971416.6292807, 12582361.729243271, 1245509.6289571142, 70770387.0152149, 5265777.820456839, 288163.5158879846]","[0.031638748174458026, 0.09016441328507468, 94.96543820284533, 0.6837073978334519, 5.006497978908587, 7.758772429555013, 111.21556763266665, 42.80591359794183]",259423053.0495532,32.8197125501513,172.903478405,orcd,23.721826403,/home/txenakis/projects/BVPsolver/logs/ablation1_23553922_1058.err,[],default,mlp,21,827,0,/home/txenakis/projects/BVPsolver/logs/ablation1_23553922_1058.out,none,derivmatch,hires,fast,108,exact,0.0,1000,0.0,0.0,2026-09-23T16:38:52.688,False,collocation,196.62530480799998,1,2,10000,16,150,False,qr,,,,
run_06L6CbGN,"[70.2393069856065, 120475104329.86417, 954.5921468998472]","[0.0006003698444380944, 0.00025981388610375647, 0.0004069223079950787]",40158368451.56521,0.00042236867951230987,"[0.9912356686344004, 5807366.280064858, 2.97902716229377e+25]","[5.789257392530705, 86.35234756947182, 1.541450508354427e+27]",9.930090540979234e+24,5.138168361181424e+26,"[0.2938447265479745, 0.46446091022211317, 2.4566628115499785]","[7.490758441094253e-08, 8.925518531286607e-07, 2.7175431869437167e-06]",1.071656149440022,1.2283342081611067e-06,0.0,orcd,31.094429279,/home/txenakis/projects/BVPsolver/logs/ablation1_23493023_339.err,[],default,stiff,12,318,0,/home/txenakis/projects/BVPsolver/logs/ablation1_23493023_339.out,none,derivmatch,rober,fast,139,exact,0.0,1000,568.992462656,0.0,2026-09-23T05:26:13.342,False,shooting,600.086891935,1,2,10000,12,150,False,,,,,
