Task 118/1800: --problem pollu --model mlp --profile fast --seed 118 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23493023_118.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=mlp width=40 d=20 tlen=50 profile=fast seed=118  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=276.8
  derivmatch lr=0.01 iter=1020/10200 loss=297.6
  derivmatch lr=0.01 iter=1530/10200 loss=264.1
  derivmatch lr=0.01 iter=2040/10200 loss=298.0
  derivmatch lr=0.01 iter=2550/10200 loss=300.4
  derivmatch lr=0.01 iter=3060/10200 loss=318.5
  derivmatch lr=0.01 iter=3570/10200 loss=365.4
  derivmatch lr=0.01 iter=4080/10200 loss=296.0
  derivmatch lr=0.01 iter=4590/10200 loss=333.8
  derivmatch lr=0.01 iter=5100/10200 loss=305.1
  derivmatch lr=0.01 iter=5610/10200 loss=286.9
  derivmatch lr=0.01 iter=6120/10200 loss=307.2
  derivmatch lr=0.01 iter=6630/10200 loss=291.9
  derivmatch lr=0.01 iter=7140/10200 loss=295.1
  derivmatch lr=0.01 iter=7650/10200 loss=317.8
  derivmatch lr=0.01 iter=8160/10200 loss=296.0
  derivmatch lr=0.01 iter=8670/10200 loss=331.0
  derivmatch lr=0.01 iter=9180/10200 loss=320.0
  derivmatch lr=0.01 iter=9690/10200 loss=319.7
  derivmatch lr=0.01 iter=10200/10200 loss=328.9
  derivmatch lr=0.01 iter=10200/10200 loss=214.6
  derivmatch lr=0.003 iter=375/7500 loss=262.3
  derivmatch lr=0.003 iter=750/7500 loss=260.7
  derivmatch lr=0.003 iter=1125/7500 loss=245.7
  derivmatch lr=0.003 iter=1500/7500 loss=256.6
  derivmatch lr=0.003 iter=1875/7500 loss=258.9
  derivmatch lr=0.003 iter=2250/7500 loss=249.2
  derivmatch lr=0.003 iter=2625/7500 loss=251.8
  derivmatch lr=0.003 iter=3000/7500 loss=248.1
  derivmatch lr=0.003 iter=3375/7500 loss=251.7
  derivmatch lr=0.003 iter=3750/7500 loss=242.4
  derivmatch lr=0.003 iter=4125/7500 loss=257.2
  derivmatch lr=0.003 iter=4500/7500 loss=257.8
  derivmatch lr=0.003 iter=4875/7500 loss=249.4
  derivmatch lr=0.003 iter=5250/7500 loss=244.1
  derivmatch lr=0.003 iter=5625/7500 loss=261.1
  derivmatch lr=0.003 iter=6000/7500 loss=263.3
  derivmatch lr=0.003 iter=6375/7500 loss=274.2
  derivmatch lr=0.003 iter=6750/7500 loss=265.1
  derivmatch lr=0.003 iter=7125/7500 loss=272.3
  derivmatch lr=0.003 iter=7500/7500 loss=274.2
  derivmatch lr=0.003 iter=7500/7500 loss=205.6
  derivmatch lr=0.001 iter=375/7500 loss=228.2
  derivmatch lr=0.001 iter=750/7500 loss=224.4
  derivmatch lr=0.001 iter=1125/7500 loss=222.1
  derivmatch lr=0.001 iter=1500/7500 loss=227.4
  derivmatch lr=0.001 iter=1875/7500 loss=241.3
  derivmatch lr=0.001 iter=2250/7500 loss=259.9
  derivmatch lr=0.001 iter=2625/7500 loss=241.9
  derivmatch lr=0.001 iter=3000/7500 loss=256.1
  derivmatch lr=0.001 iter=3375/7500 loss=228.0
  derivmatch lr=0.001 iter=3750/7500 loss=222.4
  derivmatch lr=0.001 iter=4125/7500 loss=224.5
  derivmatch lr=0.001 iter=4500/7500 loss=223.5
  derivmatch lr=0.001 iter=4875/7500 loss=239.7
  derivmatch lr=0.001 iter=5250/7500 loss=217.7
  derivmatch lr=0.001 iter=5625/7500 loss=210.5
  derivmatch lr=0.001 iter=6000/7500 loss=225.6
  derivmatch lr=0.001 iter=6375/7500 loss=215.1
  derivmatch lr=0.001 iter=6750/7500 loss=251.0
  derivmatch lr=0.001 iter=7125/7500 loss=257.7
  derivmatch lr=0.001 iter=7500/7500 loss=257.5
  derivmatch lr=0.001 iter=7500/7500 loss=175.4
  derivmatch lr=0.0003 iter=240/4800 loss=166.2
  derivmatch lr=0.0003 iter=480/4800 loss=168.1
  derivmatch lr=0.0003 iter=720/4800 loss=168.1
  derivmatch lr=0.0003 iter=960/4800 loss=175.2
  derivmatch lr=0.0003 iter=1200/4800 loss=176.7
  derivmatch lr=0.0003 iter=1440/4800 loss=182.8
  derivmatch lr=0.0003 iter=1680/4800 loss=188.1
  derivmatch lr=0.0003 iter=1920/4800 loss=183.0
  derivmatch lr=0.0003 iter=2160/4800 loss=187.6
  derivmatch lr=0.0003 iter=2400/4800 loss=203.5
  derivmatch lr=0.0003 iter=2640/4800 loss=179.8
  derivmatch lr=0.0003 iter=2880/4800 loss=172.0
  derivmatch lr=0.0003 iter=3120/4800 loss=181.1
  derivmatch lr=0.0003 iter=3360/4800 loss=184.5
  derivmatch lr=0.0003 iter=3600/4800 loss=182.2
  derivmatch lr=0.0003 iter=3840/4800 loss=188.8
  derivmatch lr=0.0003 iter=4080/4800 loss=178.8
  derivmatch lr=0.0003 iter=4320/4800 loss=201.4
  derivmatch lr=0.0003 iter=4560/4800 loss=192.2
  derivmatch lr=0.0003 iter=4800/4800 loss=206.6
  derivmatch lr=0.0003 iter=4800/4800 loss=153.0
derivative matching [49s]  fitloss=153.0
  [derivative matching]  nrmse=2.004e17  l2=117.9
