Task 232/1800: --problem pollu --model GELU-scaled --profile fast --seed 132 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23493023_232.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=132  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=7.19
  derivmatch lr=0.01 iter=1020/10200 loss=5.702
  derivmatch lr=0.01 iter=1530/10200 loss=5.533
  derivmatch lr=0.01 iter=2040/10200 loss=3.905
  derivmatch lr=0.01 iter=2550/10200 loss=4.288
  derivmatch lr=0.01 iter=3060/10200 loss=3.102
  derivmatch lr=0.01 iter=3570/10200 loss=2.747
  derivmatch lr=0.01 iter=4080/10200 loss=2.857
  derivmatch lr=0.01 iter=4590/10200 loss=1.98
  derivmatch lr=0.01 iter=5100/10200 loss=2.404
  derivmatch lr=0.01 iter=5610/10200 loss=2.414
  derivmatch lr=0.01 iter=6120/10200 loss=1.811
  derivmatch lr=0.01 iter=6630/10200 loss=1.516
  derivmatch lr=0.01 iter=7140/10200 loss=1.554
  derivmatch lr=0.01 iter=7650/10200 loss=1.856
  derivmatch lr=0.01 iter=8160/10200 loss=1.734
  derivmatch lr=0.01 iter=8670/10200 loss=1.782
  derivmatch lr=0.01 iter=9180/10200 loss=1.406
  derivmatch lr=0.01 iter=9690/10200 loss=1.087
  derivmatch lr=0.01 iter=10200/10200 loss=1.21
  derivmatch lr=0.01 iter=10200/10200 loss=0.9058
  derivmatch lr=0.003 iter=375/7500 loss=0.6501
  derivmatch lr=0.003 iter=750/7500 loss=0.7474
  derivmatch lr=0.003 iter=1125/7500 loss=0.7013
  derivmatch lr=0.003 iter=1500/7500 loss=0.6202
  derivmatch lr=0.003 iter=1875/7500 loss=0.6384
  derivmatch lr=0.003 iter=2250/7500 loss=0.5114
