Task 28/1800: --problem pollu --model stiff --profile fast --seed 128 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_23493023_28.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff width=32 d=20 tlen=50 profile=fast seed=128  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.05245
  derivmatch lr=0.01 iter=1020/10200 loss=0.01456
  derivmatch lr=0.01 iter=1530/10200 loss=0.008914
  derivmatch lr=0.01 iter=2040/10200 loss=0.006377
  derivmatch lr=0.01 iter=2550/10200 loss=0.004118
  derivmatch lr=0.01 iter=3060/10200 loss=0.003933
  derivmatch lr=0.01 iter=3570/10200 loss=0.03855
  derivmatch lr=0.01 iter=4080/10200 loss=0.003201
  derivmatch lr=0.01 iter=4590/10200 loss=0.0018
  derivmatch lr=0.01 iter=5100/10200 loss=0.001766
  derivmatch lr=0.01 iter=5610/10200 loss=0.001275
  derivmatch lr=0.01 iter=6120/10200 loss=0.001177
  derivmatch lr=0.01 iter=6630/10200 loss=0.001215
  derivmatch lr=0.01 iter=7140/10200 loss=0.001055
  derivmatch lr=0.01 iter=7650/10200 loss=0.0007669
  derivmatch lr=0.01 iter=8160/10200 loss=0.0007351
  derivmatch lr=0.01 iter=8670/10200 loss=0.001119
  derivmatch lr=0.01 iter=9180/10200 loss=0.001123
  derivmatch lr=0.01 iter=9690/10200 loss=0.002182
  derivmatch lr=0.01 iter=10200/10200 loss=0.000777
  derivmatch lr=0.01 iter=10200/10200 loss=0.000125
  derivmatch lr=0.003 iter=375/7500 loss=6.0e-5
  derivmatch lr=0.003 iter=750/7500 loss=4.722e-5
  derivmatch lr=0.003 iter=1125/7500 loss=3.992e-5
  derivmatch lr=0.003 iter=1500/7500 loss=4.392e-5
  derivmatch lr=0.003 iter=1875/7500 loss=4.293e-5
  derivmatch lr=0.003 iter=2250/7500 loss=5.369e-5
  derivmatch lr=0.003 iter=2625/7500 loss=0.0001257
  derivmatch lr=0.003 iter=3000/7500 loss=4.472e-5
  derivmatch lr=0.003 iter=3375/7500 loss=3.018e-5
  derivmatch lr=0.003 iter=3750/7500 loss=6.095e-5
  derivmatch lr=0.003 iter=4125/7500 loss=0.0002274
  derivmatch lr=0.003 iter=4500/7500 loss=8.879e-5
  derivmatch lr=0.003 iter=4875/7500 loss=0.0001514
  derivmatch lr=0.003 iter=5250/7500 loss=3.812e-5
  derivmatch lr=0.003 iter=5625/7500 loss=3.028e-5
  derivmatch lr=0.003 iter=6000/7500 loss=0.0004397
  derivmatch lr=0.003 iter=6375/7500 loss=0.0001461
  derivmatch lr=0.003 iter=6750/7500 loss=6.33e-5
  derivmatch lr=0.003 iter=7125/7500 loss=0.0001063
  derivmatch lr=0.003 iter=7500/7500 loss=1.816e-5
  derivmatch lr=0.003 iter=7500/7500 loss=1.45e-5
  derivmatch lr=0.001 iter=375/7500 loss=1.144e-5
  derivmatch lr=0.001 iter=750/7500 loss=1.105e-5
  derivmatch lr=0.001 iter=1125/7500 loss=1.068e-5
  derivmatch lr=0.001 iter=1500/7500 loss=1.026e-5
  derivmatch lr=0.001 iter=1875/7500 loss=9.875e-6
  derivmatch lr=0.001 iter=2250/7500 loss=1.125e-5
  derivmatch lr=0.001 iter=2625/7500 loss=1.04e-5
  derivmatch lr=0.001 iter=3000/7500 loss=1.029e-5
  derivmatch lr=0.001 iter=3375/7500 loss=8.898e-6
  derivmatch lr=0.001 iter=3750/7500 loss=1.762e-5
  derivmatch lr=0.001 iter=4125/7500 loss=8.819e-6
  derivmatch lr=0.001 iter=4500/7500 loss=8.188e-6
  derivmatch lr=0.001 iter=4875/7500 loss=1.225e-5
  derivmatch lr=0.001 iter=5250/7500 loss=1.097e-5
  derivmatch lr=0.001 iter=5625/7500 loss=1.486e-5
  derivmatch lr=0.001 iter=6000/7500 loss=1.046e-5
  derivmatch lr=0.001 iter=6375/7500 loss=2.267e-5
  derivmatch lr=0.001 iter=6750/7500 loss=8.959e-6
  derivmatch lr=0.001 iter=7125/7500 loss=7.247e-6
  derivmatch lr=0.001 iter=7500/7500 loss=2.823e-5
  derivmatch lr=0.001 iter=7500/7500 loss=6.887e-6
  derivmatch lr=0.0003 iter=240/4800 loss=6.865e-6
  derivmatch lr=0.0003 iter=480/4800 loss=6.837e-6
  derivmatch lr=0.0003 iter=720/4800 loss=6.801e-6
  derivmatch lr=0.0003 iter=960/4800 loss=6.758e-6
  derivmatch lr=0.0003 iter=1200/4800 loss=6.718e-6
  derivmatch lr=0.0003 iter=1440/4800 loss=6.661e-6
  derivmatch lr=0.0003 iter=1680/4800 loss=7.019e-6
  derivmatch lr=0.0003 iter=1920/4800 loss=7.117e-6
  derivmatch lr=0.0003 iter=2160/4800 loss=6.487e-6
  derivmatch lr=0.0003 iter=2400/4800 loss=6.54e-6
  derivmatch lr=0.0003 iter=2640/4800 loss=2.337e-5
  derivmatch lr=0.0003 iter=2880/4800 loss=6.33e-6
  derivmatch lr=0.0003 iter=3120/4800 loss=2.005e-5
  derivmatch lr=0.0003 iter=3360/4800 loss=6.984e-6
  derivmatch lr=0.0003 iter=3600/4800 loss=8.07e-6
  derivmatch lr=0.0003 iter=3840/4800 loss=6.448e-6
  derivmatch lr=0.0003 iter=4080/4800 loss=6.499e-6
  derivmatch lr=0.0003 iter=4320/4800 loss=6.09e-6
  derivmatch lr=0.0003 iter=4560/4800 loss=6.45e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=5.949e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=5.949e-6
derivative matching [45s]  fitloss=5.95e-6
  [derivative matching]  nrmse=0.02983  l2=0.0036
