Task 318/416: --problem orego --model GELU-scaled --profile fast --seed 12 --pretraining none --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_21347893_318.log
orego  model=GELU-scaled width=9 d=3 tlen=112 profile=fast seed=12  solver=Rodas5  N=516
  shooting iter=50/1000 loss=8.987e79
  shooting iter=100/1000 loss=2.019e80
  shooting iter=150/1000 loss=2.0299999999999998e80
  shooting iter=200/1000 loss=2.0299999999999998e80
  shooting iter=250/1000 loss=2.0299999999999998e80
  shooting iter=300/1000 loss=2.0299999999999998e80
  shooting iter=350/1000 loss=2.0299999999999998e80
  shooting iter=400/1000 loss=2.0299999999999998e80
  shooting iter=450/1000 loss=2.0299999999999998e80
  shooting iter=500/1000 loss=2.0299999999999998e80
  shooting iter=550/1000 loss=2.0299999999999998e80
  shooting iter=600/1000 loss=2.0299999999999998e80
  shooting iter=650/1000 loss=2.0299999999999998e80
  shooting iter=700/1000 loss=2.0299999999999998e80
  shooting iter=750/1000 loss=2.0299999999999998e80
  shooting iter=800/1000 loss=2.029e80
