Task 36/416: --problem pollu --model GELU-scaled --profile fast --seed 12 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_21347893_36.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=GELU-scaled width=40 d=20 tlen=50 profile=fast seed=12  solver=Rodas5  N=4940
  derivmatch lr=0.01 iter=510/10200 loss=7.7
  derivmatch lr=0.01 iter=1020/10200 loss=6.338
  derivmatch lr=0.01 iter=1530/10200 loss=6.258
  derivmatch lr=0.01 iter=2040/10200 loss=5.158
  derivmatch lr=0.01 iter=2550/10200 loss=3.885
  derivmatch lr=0.01 iter=3060/10200 loss=4.041
  derivmatch lr=0.01 iter=3570/10200 loss=3.027
  derivmatch lr=0.01 iter=4080/10200 loss=3.52
  derivmatch lr=0.01 iter=4590/10200 loss=3.196
  derivmatch lr=0.01 iter=5100/10200 loss=2.489
  derivmatch lr=0.01 iter=5610/10200 loss=2.705
  derivmatch lr=0.01 iter=6120/10200 loss=2.405
  derivmatch lr=0.01 iter=6630/10200 loss=2.115
  derivmatch lr=0.01 iter=7140/10200 loss=2.066
  derivmatch lr=0.01 iter=7650/10200 loss=1.607
  derivmatch lr=0.01 iter=8160/10200 loss=1.634
  derivmatch lr=0.01 iter=8670/10200 loss=1.517
  derivmatch lr=0.01 iter=9180/10200 loss=1.69
  derivmatch lr=0.01 iter=9690/10200 loss=1.503
  derivmatch lr=0.01 iter=10200/10200 loss=1.482
  derivmatch lr=0.01 iter=10200/10200 loss=0.9841
  derivmatch lr=0.003 iter=375/7500 loss=0.8314
  derivmatch lr=0.003 iter=750/7500 loss=0.7431
  derivmatch lr=0.003 iter=1125/7500 loss=0.761
  derivmatch lr=0.003 iter=1500/7500 loss=0.6468
  derivmatch lr=0.003 iter=1875/7500 loss=0.7961
  derivmatch lr=0.003 iter=2250/7500 loss=0.7752
  derivmatch lr=0.003 iter=2625/7500 loss=0.6356
  derivmatch lr=0.003 iter=3000/7500 loss=0.7148
  derivmatch lr=0.003 iter=3375/7500 loss=0.6887
  derivmatch lr=0.003 iter=3750/7500 loss=0.6907
  derivmatch lr=0.003 iter=4125/7500 loss=0.7597
  derivmatch lr=0.003 iter=4500/7500 loss=0.6871
  derivmatch lr=0.003 iter=4875/7500 loss=0.6859
  derivmatch lr=0.003 iter=5250/7500 loss=0.5036
  derivmatch lr=0.003 iter=5625/7500 loss=0.5567
  derivmatch lr=0.003 iter=6000/7500 loss=0.6051
  derivmatch lr=0.003 iter=6375/7500 loss=0.6258
  derivmatch lr=0.003 iter=6750/7500 loss=0.6468
  derivmatch lr=0.003 iter=7125/7500 loss=0.5659
  derivmatch lr=0.003 iter=7500/7500 loss=0.5149
  derivmatch lr=0.003 iter=7500/7500 loss=0.4256
  derivmatch lr=0.001 iter=375/7500 loss=0.3931
  derivmatch lr=0.001 iter=750/7500 loss=0.3784
  derivmatch lr=0.001 iter=1125/7500 loss=0.3718
  derivmatch lr=0.001 iter=1500/7500 loss=0.3924
  derivmatch lr=0.001 iter=1875/7500 loss=0.3657
  derivmatch lr=0.001 iter=2250/7500 loss=0.4341
  derivmatch lr=0.001 iter=2625/7500 loss=0.356
  derivmatch lr=0.001 iter=3000/7500 loss=0.3645
  derivmatch lr=0.001 iter=3375/7500 loss=0.3478
  derivmatch lr=0.001 iter=3750/7500 loss=0.3996
  derivmatch lr=0.001 iter=4125/7500 loss=0.3483
  derivmatch lr=0.001 iter=4500/7500 loss=0.3421
  derivmatch lr=0.001 iter=4875/7500 loss=0.3517
  derivmatch lr=0.001 iter=5250/7500 loss=0.3719
  derivmatch lr=0.001 iter=5625/7500 loss=0.354
  derivmatch lr=0.001 iter=6000/7500 loss=0.3489
  derivmatch lr=0.001 iter=6375/7500 loss=0.3481
  derivmatch lr=0.001 iter=6750/7500 loss=0.3443
  derivmatch lr=0.001 iter=7125/7500 loss=0.3939
  derivmatch lr=0.001 iter=7500/7500 loss=0.3385
  derivmatch lr=0.001 iter=7500/7500 loss=0.3263
  derivmatch lr=0.0003 iter=240/4800 loss=0.3241
  derivmatch lr=0.0003 iter=480/4800 loss=0.3233
  derivmatch lr=0.0003 iter=720/4800 loss=0.3238
  derivmatch lr=0.0003 iter=960/4800 loss=0.3221
  derivmatch lr=0.0003 iter=1200/4800 loss=0.3214
  derivmatch lr=0.0003 iter=1440/4800 loss=0.3204
  derivmatch lr=0.0003 iter=1680/4800 loss=0.3206
  derivmatch lr=0.0003 iter=1920/4800 loss=0.3192
  derivmatch lr=0.0003 iter=2160/4800 loss=0.3192
  derivmatch lr=0.0003 iter=2400/4800 loss=0.3184
  derivmatch lr=0.0003 iter=2640/4800 loss=0.3182
  derivmatch lr=0.0003 iter=2880/4800 loss=0.3158
  derivmatch lr=0.0003 iter=3120/4800 loss=0.318
  derivmatch lr=0.0003 iter=3360/4800 loss=0.3147
  derivmatch lr=0.0003 iter=3600/4800 loss=0.3165
  derivmatch lr=0.0003 iter=3840/4800 loss=0.3148
  derivmatch lr=0.0003 iter=4080/4800 loss=0.3135
  derivmatch lr=0.0003 iter=4320/4800 loss=0.3144
  derivmatch lr=0.0003 iter=4560/4800 loss=0.3123
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3126
  derivmatch lr=0.0003 iter=4800/4800 loss=0.3118
derivative matching [45s]  fitloss=0.312
