Task 8/214: --problem pollu --model stiff --profile fast --seed 14 --pretraining derivmatch --training shapovalova
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_20252509_8.log
Precompiling packages...
  11193.5 ms  ✓ StiffNN
  1 dependency successfully precompiled in 29 seconds. 596 already precompiled.
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff d=20 tlen=50 profile=fast seed=14  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.02881
  derivmatch lr=0.01 iter=1020/10200 loss=0.26
  derivmatch lr=0.01 iter=1530/10200 loss=0.008129
  derivmatch lr=0.01 iter=2040/10200 loss=0.004392
  derivmatch lr=0.01 iter=2550/10200 loss=0.002911
  derivmatch lr=0.01 iter=3060/10200 loss=0.002296
  derivmatch lr=0.01 iter=3570/10200 loss=0.005713
  derivmatch lr=0.01 iter=4080/10200 loss=0.003111
  derivmatch lr=0.01 iter=4590/10200 loss=0.002097
  derivmatch lr=0.01 iter=5100/10200 loss=0.001653
  derivmatch lr=0.01 iter=5610/10200 loss=0.001672
  derivmatch lr=0.01 iter=6120/10200 loss=0.001401
  derivmatch lr=0.01 iter=6630/10200 loss=0.001243
  derivmatch lr=0.01 iter=7140/10200 loss=0.00122
  derivmatch lr=0.01 iter=7650/10200 loss=0.001082
  derivmatch lr=0.01 iter=8160/10200 loss=0.00109
  derivmatch lr=0.01 iter=8670/10200 loss=0.0009894
  derivmatch lr=0.01 iter=9180/10200 loss=0.0008598
  derivmatch lr=0.01 iter=9690/10200 loss=0.0003691
  derivmatch lr=0.01 iter=10200/10200 loss=0.0008409
  derivmatch lr=0.01 iter=10200/10200 loss=0.0001652
  derivmatch lr=0.003 iter=375/7500 loss=0.000146
  derivmatch lr=0.003 iter=750/7500 loss=0.0001066
  derivmatch lr=0.003 iter=1125/7500 loss=8.766e-5
  derivmatch lr=0.003 iter=1500/7500 loss=0.0002185
  derivmatch lr=0.003 iter=1875/7500 loss=0.0001955
  derivmatch lr=0.003 iter=2250/7500 loss=0.0001465
  derivmatch lr=0.003 iter=2625/7500 loss=7.246e-5
  derivmatch lr=0.003 iter=3000/7500 loss=0.0001481
  derivmatch lr=0.003 iter=3375/7500 loss=5.957e-5
  derivmatch lr=0.003 iter=3750/7500 loss=0.0002081
  derivmatch lr=0.003 iter=4125/7500 loss=0.0001847
  derivmatch lr=0.003 iter=4500/7500 loss=0.0001858
  derivmatch lr=0.003 iter=4875/7500 loss=3.924e-5
  derivmatch lr=0.003 iter=5250/7500 loss=5.395e-5
