Precompiling packages...
    StiffNN Being precompiled by another machine (hostname: node1608, pid: 557389, pidfile: /home/txenakis/.julia/compiled/v1.12/StiffNN/YZ2jX_slr9s.ji.pidfile)
  13340.4 ms  ✓ StiffNN
  1 dependency successfully precompiled in 31 seconds. 596 already precompiled.
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff d=20 tlen=50 profile=fast seed=11  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.05074
  derivmatch lr=0.01 iter=1020/10200 loss=0.01724
  derivmatch lr=0.01 iter=1530/10200 loss=0.009494
  derivmatch lr=0.01 iter=2040/10200 loss=0.02634
  derivmatch lr=0.01 iter=2550/10200 loss=0.007018
  derivmatch lr=0.01 iter=3060/10200 loss=0.004657
  derivmatch lr=0.01 iter=3570/10200 loss=0.00342
  derivmatch lr=0.01 iter=4080/10200 loss=0.003216
  derivmatch lr=0.01 iter=4590/10200 loss=0.001879
  derivmatch lr=0.01 iter=5100/10200 loss=0.001731
  derivmatch lr=0.01 iter=5610/10200 loss=0.001258
  derivmatch lr=0.01 iter=6120/10200 loss=0.001116
  derivmatch lr=0.01 iter=6630/10200 loss=0.0008328
  derivmatch lr=0.01 iter=7140/10200 loss=0.0009692
  derivmatch lr=0.01 iter=7650/10200 loss=0.000838
  derivmatch lr=0.01 iter=8160/10200 loss=0.0006698
  derivmatch lr=0.01 iter=8670/10200 loss=0.0007659
  derivmatch lr=0.01 iter=9180/10200 loss=0.00106
  derivmatch lr=0.01 iter=9690/10200 loss=0.001788
  derivmatch lr=0.01 iter=10200/10200 loss=0.001081
  derivmatch lr=0.01 iter=10200/10200 loss=0.0001751
  derivmatch lr=0.003 iter=375/7500 loss=8.927e-5
  derivmatch lr=0.003 iter=750/7500 loss=6.453e-5
  derivmatch lr=0.003 iter=1125/7500 loss=0.0001728
  derivmatch lr=0.003 iter=1500/7500 loss=0.0001962
  derivmatch lr=0.003 iter=1875/7500 loss=0.0001175
  derivmatch lr=0.003 iter=2250/7500 loss=7.193e-5
  derivmatch lr=0.003 iter=2625/7500 loss=8.502e-5
  derivmatch lr=0.003 iter=3000/7500 loss=0.0001192
  derivmatch lr=0.003 iter=3375/7500 loss=0.0001001
  derivmatch lr=0.003 iter=3750/7500 loss=0.0002042
  derivmatch lr=0.003 iter=4125/7500 loss=9.831e-5
  derivmatch lr=0.003 iter=4500/7500 loss=0.0002755
  derivmatch lr=0.003 iter=4875/7500 loss=5.233e-5
  derivmatch lr=0.003 iter=5250/7500 loss=0.0003186
  derivmatch lr=0.003 iter=5625/7500 loss=7.941e-5
  derivmatch lr=0.003 iter=6000/7500 loss=0.0001155
  derivmatch lr=0.003 iter=6375/7500 loss=2.527e-5
  derivmatch lr=0.003 iter=6750/7500 loss=0.0002685
  derivmatch lr=0.003 iter=7125/7500 loss=0.0003845
  derivmatch lr=0.003 iter=7500/7500 loss=3.515e-5
  derivmatch lr=0.003 iter=7500/7500 loss=1.727e-5
  derivmatch lr=0.001 iter=375/7500 loss=1.58e-5
  derivmatch lr=0.001 iter=750/7500 loss=1.537e-5
  derivmatch lr=0.001 iter=1125/7500 loss=1.493e-5
  derivmatch lr=0.001 iter=1500/7500 loss=1.45e-5
  derivmatch lr=0.001 iter=1875/7500 loss=1.408e-5
  derivmatch lr=0.001 iter=2250/7500 loss=1.394e-5
  derivmatch lr=0.001 iter=2625/7500 loss=4.43e-5
  derivmatch lr=0.001 iter=3000/7500 loss=1.291e-5
  derivmatch lr=0.001 iter=3375/7500 loss=1.315e-5
  derivmatch lr=0.001 iter=3750/7500 loss=1.382e-5
  derivmatch lr=0.001 iter=4125/7500 loss=2.408e-5
  derivmatch lr=0.001 iter=4500/7500 loss=2.33e-5
  derivmatch lr=0.001 iter=4875/7500 loss=6.083e-5
  derivmatch lr=0.001 iter=5250/7500 loss=1.88e-5
  derivmatch lr=0.001 iter=5625/7500 loss=7.452e-5
  derivmatch lr=0.001 iter=6000/7500 loss=1.107e-5
  derivmatch lr=0.001 iter=6375/7500 loss=4.896e-5
  derivmatch lr=0.001 iter=6750/7500 loss=1.417e-5
  derivmatch lr=0.001 iter=7125/7500 loss=2.27e-5
  derivmatch lr=0.001 iter=7500/7500 loss=1.045e-5
  derivmatch lr=0.001 iter=7500/7500 loss=1.009e-5
  derivmatch lr=0.0003 iter=240/4800 loss=9.917e-6
  derivmatch lr=0.0003 iter=480/4800 loss=9.871e-6
  derivmatch lr=0.0003 iter=720/4800 loss=9.809e-6
  derivmatch lr=0.0003 iter=960/4800 loss=9.731e-6
  derivmatch lr=0.0003 iter=1200/4800 loss=9.637e-6
  derivmatch lr=0.0003 iter=1440/4800 loss=9.526e-6
  derivmatch lr=0.0003 iter=1680/4800 loss=1.003e-5
  derivmatch lr=0.0003 iter=1920/4800 loss=1.052e-5
  derivmatch lr=0.0003 iter=2160/4800 loss=1.095e-5
  derivmatch lr=0.0003 iter=2400/4800 loss=1.07e-5
  derivmatch lr=0.0003 iter=2640/4800 loss=9.607e-6
  derivmatch lr=0.0003 iter=2880/4800 loss=1.43e-5
  derivmatch lr=0.0003 iter=3120/4800 loss=8.702e-6
  derivmatch lr=0.0003 iter=3360/4800 loss=1.335e-5
  derivmatch lr=0.0003 iter=3600/4800 loss=8.403e-6
  derivmatch lr=0.0003 iter=3840/4800 loss=8.687e-6
  derivmatch lr=0.0003 iter=4080/4800 loss=8.412e-6
  derivmatch lr=0.0003 iter=4320/4800 loss=8.049e-6
  derivmatch lr=0.0003 iter=4560/4800 loss=8.271e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=8.166e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=7.885e-6
derivative matching [48s]  fitloss=7.88e-6
  [derivative matching]  nrmse=0.04066  l2=0.003921
