┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff width=32 d=20 tlen=50 profile=fast seed=105  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.03991
  derivmatch lr=0.01 iter=1020/10200 loss=0.01312
  derivmatch lr=0.01 iter=1530/10200 loss=0.005513
  derivmatch lr=0.01 iter=2040/10200 loss=0.002942
  derivmatch lr=0.01 iter=2550/10200 loss=0.003464
  derivmatch lr=0.01 iter=3060/10200 loss=0.002148
  derivmatch lr=0.01 iter=3570/10200 loss=0.001592
  derivmatch lr=0.01 iter=4080/10200 loss=0.00138
  derivmatch lr=0.01 iter=4590/10200 loss=0.001148
  derivmatch lr=0.01 iter=5100/10200 loss=0.001049
  derivmatch lr=0.01 iter=5610/10200 loss=0.0009989
  derivmatch lr=0.01 iter=6120/10200 loss=0.001131
  derivmatch lr=0.01 iter=6630/10200 loss=0.0009728
  derivmatch lr=0.01 iter=7140/10200 loss=0.000875
  derivmatch lr=0.01 iter=7650/10200 loss=0.001076
  derivmatch lr=0.01 iter=8160/10200 loss=0.001006
  derivmatch lr=0.01 iter=8670/10200 loss=0.001717
  derivmatch lr=0.01 iter=9180/10200 loss=0.001151
  derivmatch lr=0.01 iter=9690/10200 loss=0.0009948
  derivmatch lr=0.01 iter=10200/10200 loss=0.0007482
  derivmatch lr=0.01 iter=10200/10200 loss=0.0003264
  derivmatch lr=0.003 iter=375/7500 loss=7.09e-5
  derivmatch lr=0.003 iter=750/7500 loss=5.428e-5
  derivmatch lr=0.003 iter=1125/7500 loss=4.45e-5
  derivmatch lr=0.003 iter=1500/7500 loss=5.916e-5
  derivmatch lr=0.003 iter=1875/7500 loss=0.0001697
  derivmatch lr=0.003 iter=2250/7500 loss=9.037e-5
  derivmatch lr=0.003 iter=2625/7500 loss=9.567e-5
  derivmatch lr=0.003 iter=3000/7500 loss=7.718e-5
  derivmatch lr=0.003 iter=3375/7500 loss=0.0001112
  derivmatch lr=0.003 iter=3750/7500 loss=0.0001041
  derivmatch lr=0.003 iter=4125/7500 loss=9.687e-5
  derivmatch lr=0.003 iter=4500/7500 loss=5.714e-5
  derivmatch lr=0.003 iter=4875/7500 loss=0.0001397
  derivmatch lr=0.003 iter=5250/7500 loss=0.0001978
  derivmatch lr=0.003 iter=5625/7500 loss=7.037e-5
  derivmatch lr=0.003 iter=6000/7500 loss=6.576e-5
  derivmatch lr=0.003 iter=6375/7500 loss=7.192e-5
  derivmatch lr=0.003 iter=6750/7500 loss=0.0001338
  derivmatch lr=0.003 iter=7125/7500 loss=7.6e-5
  derivmatch lr=0.003 iter=7500/7500 loss=0.0002471
  derivmatch lr=0.003 iter=7500/7500 loss=1.657e-5
  derivmatch lr=0.001 iter=375/7500 loss=1.464e-5
  derivmatch lr=0.001 iter=750/7500 loss=1.418e-5
  derivmatch lr=0.001 iter=1125/7500 loss=1.367e-5
  derivmatch lr=0.001 iter=1500/7500 loss=1.352e-5
  derivmatch lr=0.001 iter=1875/7500 loss=1.275e-5
  derivmatch lr=0.001 iter=2250/7500 loss=1.277e-5
  derivmatch lr=0.001 iter=2625/7500 loss=1.403e-5
  derivmatch lr=0.001 iter=3000/7500 loss=1.211e-5
  derivmatch lr=0.001 iter=3375/7500 loss=2.24e-5
  derivmatch lr=0.001 iter=3750/7500 loss=1.133e-5
  derivmatch lr=0.001 iter=4125/7500 loss=1.181e-5
  derivmatch lr=0.001 iter=4500/7500 loss=1.208e-5
  derivmatch lr=0.001 iter=4875/7500 loss=3.704e-5
  derivmatch lr=0.001 iter=5250/7500 loss=1.734e-5
  derivmatch lr=0.001 iter=5625/7500 loss=1.086e-5
  derivmatch lr=0.001 iter=6000/7500 loss=1.031e-5
  derivmatch lr=0.001 iter=6375/7500 loss=1.083e-5
  derivmatch lr=0.001 iter=6750/7500 loss=9.265e-6
  derivmatch lr=0.001 iter=7125/7500 loss=9.371e-6
  derivmatch lr=0.001 iter=7500/7500 loss=1.081e-5
  derivmatch lr=0.001 iter=7500/7500 loss=9.116e-6
  derivmatch lr=0.0003 iter=240/4800 loss=8.903e-6
  derivmatch lr=0.0003 iter=480/4800 loss=8.86e-6
  derivmatch lr=0.0003 iter=720/4800 loss=8.805e-6
  derivmatch lr=0.0003 iter=960/4800 loss=8.737e-6
  derivmatch lr=0.0003 iter=1200/4800 loss=8.663e-6
  derivmatch lr=0.0003 iter=1440/4800 loss=8.579e-6
  derivmatch lr=0.0003 iter=1680/4800 loss=8.502e-6
  derivmatch lr=0.0003 iter=1920/4800 loss=8.403e-6
  derivmatch lr=0.0003 iter=2160/4800 loss=8.324e-6
  derivmatch lr=0.0003 iter=2400/4800 loss=1.277e-5
  derivmatch lr=0.0003 iter=2640/4800 loss=9.186e-6
  derivmatch lr=0.0003 iter=2880/4800 loss=8.307e-6
  derivmatch lr=0.0003 iter=3120/4800 loss=7.91e-6
  derivmatch lr=0.0003 iter=3360/4800 loss=8.824e-6
  derivmatch lr=0.0003 iter=3600/4800 loss=8.984e-6
  derivmatch lr=0.0003 iter=3840/4800 loss=7.627e-6
  derivmatch lr=0.0003 iter=4080/4800 loss=7.772e-6
  derivmatch lr=0.0003 iter=4320/4800 loss=7.466e-6
  derivmatch lr=0.0003 iter=4560/4800 loss=7.394e-6
  derivmatch lr=0.0003 iter=4800/4800 loss=1.057e-5
  derivmatch lr=0.0003 iter=4800/4800 loss=7.302e-6
derivative matching [53s]  fitloss=7.3e-6
  [derivative matching]  nrmse=0.06578  l2=0.004622
